Theta0,PERIODO_RK4,NUM_PASSOS_RK4,PERIODO_RK5,NUM_PASSOS_RK5,PERIODO_REAL
0.157080,1.9947,19947,1.9750,200,2.009165
0.235619,1.9968,19968,1.9850,201,2.013050
0.314159,1.9981,19981,1.9850,201,2.018512
0.392699,1.9989,19989,1.9850,201,2.025574
0.471239,1.9995,19995,1.9950,202,2.034269
0.549779,2.0000,20000,1.9950,202,2.044633
0.628319,2.0004,20004,1.9950,202,2.056714
0.706858,2.0007,20007,1.9950,202,2.070566
0.785398,2.0010,20010,1.9950,202,2.086256
0.863938,2.0013,20013,1.9950,202,2.103857
0.942478,2.0015,20015,1.9950,202,2.123456
1.021018,2.0016,20016,1.9950,202,2.145152
1.099557,2.0018,20018,1.9950,202,2.169060
1.178097,2.0020,20020,1.9950,202,2.195307
1.256637,2.0021,20021,1.9950,202,2.224040
1.335177,2.0022,20022,1.9950,202,2.255426
1.413717,2.0023,20023,1.9950,202,2.289655
1.492257,2.0024,20024,1.9950,202,2.326938
1.570796,2.0025,20025,1.9950,202,2.367521
